000|790|3950000|514|874|2019-01-01
001|836|4180000|561|853|2019-01-02
002|796|3980000|570|802|2019-01-03
003|861|4305000|577|864|2019-01-04
004|649|3245000|599|895|2019-01-05
005|577|2885000|508|854|2019-01-06
006|837|4185000|558|843|2019-01-07
007|359|1795000|595|828|2019-01-08
008|993|4965000|525|880|2019-01-09
009|695|3475000|573|855|2019-01-10
010|697|3485000|555|849|2019-01-11
011|639|3195000|559|800|2019-01-12
012|972|4860000|515|861|2019-01-13
013|772|3860000|586|805|2019-01-14
014|864|4320000|592|850|2019-01-15
015|940|4700000|565|871|2019-01-16
016|281|1405000|567|885|2019-01-17
017|288|1440000|566|887|2019-01-18
018|256|1280000|575|803|2019-01-19
019|953|4765000|503|865|2019-01-20
020|617|3085000|560|820|2019-01-21
021|145|725000|588|829|2019-01-22
022|396|1980000|578|842|2019-01-23
023|710|3550000|508|854|2019-01-24
024|862|4310000|573|801|2019-01-25
025|412|2060000|507|867|2019-01-26
026|409|2045000|594|823|2019-01-27
027|867|4335000|580|891|2019-01-28
028|514|2570000|549|813|2019-01-29
029|561|2805000|522|849|2019-01-30
030|914|4570000|539|860|2019-01-31
031|677|3385000|582|874|2019-02-01
032|638|3190000|564|877|2019-02-02
033|226|1130000|540|876|2019-02-03
034|591|2955000|544|811|2019-02-04
035|491|2455000|547|806|2019-02-05
036|569|2845000|510|844|2019-02-06
037|679|3395000|542|891|2019-02-07
038|721|3605000|569|875|2019-02-08
039|705|3525000|576|885|2019-02-09
040|809|4045000|546|861|2019-02-10
041|322|1610000|542|893|2019-02-11
042|393|1965000|555|840|2019-02-12
043|582|2910000|543|823|2019-02-13
044|563|2815000|575|880|2019-02-14
045|783|3915000|588|848|2019-02-15
046|647|3235000|583|819|2019-02-16
047|347|1735000|532|841|2019-02-17
048|899|4495000|555|888|2019-02-18
049|459|2295000|575|888|2019-02-19
050|831|4155000|512|821|2019-02-20
051|360|1800000|578|867|2019-02-21
052|442|2210000|572|844|2019-02-22
053|383|1915000|581|861|2019-02-23
054|509|2545000|551|820|2019-02-24
055|958|4790000|566|846|2019-02-25
056|645|3225000|592|832|2019-02-26
057|707|3535000|503|837|2019-02-27
058|898|4490000|536|869|2019-02-28
059|666|3330000|587|845|2019-03-01
060|340|1700000|516|853|2019-03-02
061|465|2325000|560|846|2019-03-03
062|348|1740000|532|853|2019-03-04
063|718|3590000|591|875|2019-03-05
064|585|2925000|565|841|2019-03-06
065|920|4600000|598|845|2019-03-07
066|772|3860000|542|830|2019-03-08
067|298|1490000|523|834|2019-03-09
068|943|4715000|581|819|2019-03-10
069|573|2865000|568|893|2019-03-11
070|287|1435000|511|823|2019-03-12
071|427|2135000|589|864|2019-03-13
072|461|2305000|561|889|2019-03-14
073|766|3830000|576|883|2019-03-15
